handoff_id,request_id,conversation_id,sent_at,manager_group_id,summary_text,has_name,has_phone,has_service,has_car,has_details,is_duplicate
ho_0038,req_0038,conv_0038,2026-06-10 17:03:00,-5004592549,"Заявка: Chrome delete, авто: Porsche Macan, телефон: +7 999 138-48-34",yes,yes,yes,yes,no,no
ho_0081,req_0079,conv_0079,2026-06-10 17:59:00,-5004592549,"Заявка: Full PPF wrap, авто: Mercedes-Benz E-Class, телефон: +7 999 179-89-67",yes,yes,yes,yes,yes,no
ho_0022,req_0022,conv_0022,2026-06-10 20:00:00,-5004592549,"Заявка: Interior dry cleaning, авто: Mercedes-Benz E-Class, телефон: +7 999 122-32-76",yes,yes,yes,yes,yes,no
ho_0001,req_0001,conv_0001,2026-06-10 20:13:00,-5004592549,"Заявка: Detailing wash, авто: Lexus RX, телефон: +7 999 101-11-13",yes,yes,yes,yes,yes,no
ho_0192,req_0221,conv_0221,2026-06-11 09:32:00,-5004592549,"Заявка: Window tinting, авто: Lexus RX, телефон: +7 999 321-51-43",yes,yes,yes,yes,yes,no
ho_0015,req_0015,conv_0015,2026-06-11 11:07:00,-5004592549,"Заявка: Ceramic coating, авто: Mazda CX-5, телефон: +7 999 115-25-55",yes,yes,yes,yes,yes,no
ho_0155,req_0153,conv_0153,2026-06-11 11:47:00,-5004592549,"Заявка: Ceramic coating, авто: Range Rover Sport, телефон: +7 999 253-73-19",yes,yes,yes,yes,yes,no
ho_0166,req_0164,conv_0164,2026-06-11 12:27:00,-5004592549,"Заявка: Chrome delete, авто: Hyundai Santa Fe, телефон: +7 999 264-84-52",yes,yes,yes,yes,yes,no
ho_0210,req_0239,conv_0239,2026-06-11 15:05:00,-5004592549,"Заявка: Paint correction, авто: Skoda Octavia, телефон: +7 999 339-69-97",yes,yes,yes,yes,yes,no
ho_0075,req_0073,conv_0073,2026-06-11 15:34:00,-5004592549,"Заявка: Chrome delete, авто: BMW X5, телефон: +7 999 173-83-49",yes,yes,yes,yes,no,no
ho_0023,req_0023,conv_0023,2026-06-11 16:36:00,-5004592549,"Заявка: Ceramic coating, авто: Kia K5, телефон: +7 999 123-33-79",yes,yes,yes,yes,yes,no
ho_0096,req_0094,conv_0094,2026-06-11 19:23:00,-5004592549,"Заявка: Full PPF wrap, авто: Audi A6, телефон: +7 999 194-14-22",yes,yes,yes,yes,yes,no
ho_0112,req_0110,conv_0110,2026-06-12 12:39:00,-5004592549,"Заявка: Ceramic coating, авто: Kia K5, телефон: +7 999 210-30-70",yes,yes,yes,yes,no,no
ho_0205,req_0234,conv_0234,2026-06-12 12:51:00,-5004592549,"Заявка: Chrome delete, авто: Lexus RX, телефон: +7 999 334-64-82",yes,yes,yes,yes,yes,no
ho_0005,req_0005,conv_0005,2026-06-12 13:13:00,-5004592549,"Заявка: Interior dry cleaning, авто: Toyota Camry, телефон: +7 999 105-15-25",yes,yes,yes,yes,no,no
ho_0130,req_0128,conv_0128,2026-06-12 13:26:00,-5004592549,"Заявка: Interior dry cleaning, авто: Range Rover Sport, телефон: не собран",yes,no,yes,yes,no,no
ho_0013,req_0013,conv_0013,2026-06-12 15:25:00,-5004592549,"Заявка: Detailing wash, авто: BMW X5, телефон: +7 999 113-23-49",yes,yes,yes,no,no,no
ho_0143,req_0141,conv_0141,2026-06-12 16:27:00,-5004592549,"Заявка: Full PPF wrap, авто: Mazda CX-5, телефон: +7 999 241-61-73",yes,yes,yes,yes,yes,no
ho_0078,req_0076,conv_0076,2026-06-12 17:50:00,-5004592549,"Заявка: Interior dry cleaning, авто: Mazda CX-5, телефон: +7 999 176-86-58",yes,yes,yes,yes,yes,no
ho_0030,req_0030,conv_0030,2026-06-12 18:05:00,-5004592549,"Заявка: PPF elements, авто: Honda Accord 8, телефон: +7 999 130-40-10",yes,yes,yes,yes,yes,no
ho_0067,req_0065,conv_0065,2026-06-13 09:22:00,-5004592549,"Заявка: Detailing wash, авто: Toyota Camry, телефон: +7 999 165-75-25",yes,yes,yes,yes,no,no
ho_0188,req_0217,conv_0217,2026-06-13 09:34:00,-5004592549,"Заявка: Detailing wash, авто: Geely Monjaro, телефон: +7 999 317-47-31",yes,yes,yes,yes,yes,no
ho_0043,req_0043,conv_0043,2026-06-13 10:23:00,-5004592549,"Заявка: Window tinting, авто: Toyota Camry, телефон: +7 999 143-53-49",yes,yes,yes,yes,no,no
ho_0033,req_0033,conv_0033,2026-06-13 10:47:00,-5004592549,"Заявка: Full PPF wrap, авто: Kia K5, телефон: +7 999 133-43-19",yes,yes,yes,yes,yes,no
ho_0132,req_0130,conv_0130,2026-06-13 13:37:00,-5004592549,"Заявка: Ceramic coating, авто: Geely Monjaro, телефон: +7 999 230-50-40",yes,yes,yes,yes,yes,no
ho_0056,req_0056,conv_0056,2026-06-13 13:54:00,-5004592549,"Заявка: Chrome delete, авто: Range Rover Sport, телефон: +7 999 156-66-88",yes,yes,yes,yes,yes,no
ho_0057,req_0056,conv_0056,2026-06-13 13:55:00,-5004592549,"Заявка: Chrome delete, авто: Range Rover Sport, телефон: +7 999 156-66-88",yes,yes,yes,yes,yes,yes
ho_0114,req_0112,conv_0112,2026-06-13 14:56:00,-5004592549,"Заявка: Window tinting, авто: Mercedes-Benz E-Class, телефон: +7 999 212-32-76",yes,yes,yes,yes,yes,no
ho_0151,req_0149,conv_0149,2026-06-13 16:00:00,-5004592549,"Заявка: Ceramic coating, авто: Skoda Octavia, телефон: +7 999 249-69-97",yes,yes,yes,yes,no,no
ho_0014,req_0014,conv_0014,2026-06-13 17:41:00,-5004592549,"Заявка: Window tinting, авто: Range Rover Sport, телефон: +7 999 114-24-52",yes,yes,yes,yes,no,no
ho_0157,req_0155,conv_0155,2026-06-13 19:27:00,-5004592549,"Заявка: Full PPF wrap, авто: Volkswagen Tiguan, телефон: +7 999 255-75-25",yes,yes,yes,yes,yes,no
ho_0138,req_0136,conv_0136,2026-06-13 20:06:00,-5004592549,"Заявка: Interior dry cleaning, авто: Porsche Macan, телефон: +7 999 236-56-58",yes,yes,yes,yes,yes,no
ho_0032,req_0032,conv_0032,2026-06-14 10:06:00,-5004592549,"Заявка: Ceramic coating, авто: Volkswagen Tiguan, телефон: +7 999 132-42-16",yes,yes,yes,yes,yes,no
ho_0169,req_0167,conv_0167,2026-06-14 10:23:00,-5004592549,"Заявка: Full PPF wrap, авто: Mazda CX-5, телефон: +7 999 267-87-61",yes,yes,yes,yes,yes,no
ho_0065,req_0063,conv_0063,2026-06-14 12:49:00,-5004592549,"Заявка: Detailing wash, авто: Mercedes-Benz E-Class, телефон: +7 999 163-73-19",yes,yes,yes,yes,no,no
ho_0111,req_0109,conv_0109,2026-06-14 13:09:00,-5004592549,"Заявка: Paint correction, авто: Mercedes-Benz E-Class, телефон: +7 999 209-29-67",yes,yes,yes,yes,yes,no
ho_0145,req_0143,conv_0143,2026-06-14 13:47:00,-5004592549,"Заявка: Paint correction, авто: BMW X5, телефон: +7 999 243-63-79",yes,yes,yes,yes,yes,no
ho_0049,req_0049,conv_0049,2026-06-14 13:48:00,-5004592549,"Заявка: Interior dry cleaning, авто: Range Rover Sport, телефон: +7 999 149-59-67",yes,yes,yes,yes,yes,no
ho_0141,req_0139,conv_0139,2026-06-14 15:22:00,-5004592549,"Заявка: Chrome delete, авто: Audi A6, телефон: +7 999 239-59-67",yes,yes,yes,yes,yes,no
ho_0136,req_0134,conv_0134,2026-06-14 15:45:00,-5004592549,"Заявка: Detailing wash, авто: Volkswagen Tiguan, телефон: +7 999 234-54-52",yes,yes,yes,yes,yes,no
ho_0068,req_0066,conv_0066,2026-06-14 15:56:00,-5004592549,"Заявка: Chrome delete, авто: Volkswagen Tiguan, телефон: +7 999 166-76-28",yes,yes,yes,yes,yes,no
ho_0012,req_0012,conv_0012,2026-06-14 15:57:00,-5004592549,"Заявка: Detailing wash, авто: Porsche Macan, телефон: +7 999 112-22-46",yes,yes,yes,yes,no,no
ho_0150,req_0148,conv_0148,2026-06-14 17:58:00,-5004592549,"Заявка: PPF elements, авто: Skoda Octavia, телефон: +7 999 248-68-94",yes,yes,yes,yes,yes,no
ho_0045,req_0045,conv_0045,2026-06-14 18:55:00,-5004592549,"Заявка: Ceramic coating, авто: Lexus RX, телефон: +7 999 145-55-55",yes,yes,yes,yes,yes,no
ho_0010,req_0010,conv_0010,2026-06-14 19:18:00,-5004592549,"Заявка: Window tinting, авто: Range Rover Sport, телефон: +7 999 110-20-40",yes,yes,yes,yes,no,no
ho_0125,req_0123,conv_0123,2026-06-15 10:38:00,-5004592549,"Заявка: Chrome delete, авто: Mercedes-Benz E-Class, телефон: +7 999 223-43-19",yes,yes,yes,yes,no,no
ho_0154,req_0152,conv_0152,2026-06-15 11:10:00,-5004592549,"Заявка: Full PPF wrap, авто: Audi A6, телефон: +7 999 252-72-16",yes,yes,yes,yes,yes,no
ho_0036,req_0036,conv_0036,2026-06-15 11:31:00,-5004592549,"Заявка: Detailing wash, авто: Skoda Octavia, телефон: +7 999 136-46-28",yes,yes,yes,yes,yes,no
ho_0158,req_0156,conv_0156,2026-06-15 11:56:00,-5004592549,"Заявка: Ceramic coating, авто: Geely Monjaro, телефон: +7 999 256-76-28",yes,yes,yes,yes,no,no
ho_0008,req_0008,conv_0008,2026-06-15 12:45:00,-5004592549,"Заявка: Detailing wash, авто: Mercedes-Benz E-Class, телефон: +7 999 108-18-34",yes,yes,yes,yes,yes,no
ho_0170,req_0168,conv_0168,2026-06-15 13:04:00,-5004592549,"Заявка: Full PPF wrap, авто: Range Rover Sport, телефон: +7 999 268-88-64",yes,yes,yes,yes,no,no
ho_0164,req_0162,conv_0162,2026-06-15 13:35:00,-5004592549,"Заявка: Paint correction, авто: Hyundai Santa Fe, телефон: +7 999 262-82-46",yes,yes,yes,yes,yes,no
